Name,Price,UPC,Link
"Lieber's Artificial Vanilla Flavor, 2 fl oz
Open Product Description",$2.69,00043427160261,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-artificial-vanilla-flavor-2-fl-oz-id-00043427160261
"Gefen Fat Free Imitation Chicken Flavor Instant Noodle Soup, 1.92 oz
Open Product Description",$2.49,00710069601215,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-fat-free-imitation-chicken-flavor-instant-noodle-soup-192-oz-id-00710069601215
"Gefen Sweet Peas, 15 oz
Open Product Description",$2.49,00710069021600,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-sweet-peas-15-oz-id-00710069021600
"Lieber's Gourmet Flavors Mega Candy Buttons, 2 oz
Open Product Description",$2.49,00043427001991,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-gourmet-flavors-mega-candy-buttons-2-oz-id-00043427001991
"Paskesz Sour Sticks Mix Multi Flavored Sour Candy Sticks, 3.5 oz
Open Product Description",$2.49,00025675120006,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-sour-sticks-mix-multi-flavored-sour-candy-sticks-35-oz-id-00025675120006
"Sea Castle Spicy Roasted Seaweed Snacks, 0.35 oz
Open Product Description",$2.49,00040822043212,https://www.shoprite.com/sm/planning/rsid/218/product/sea-castle-spicy-roasted-seaweed-snacks-035-oz-id-00040822043212
"Fox's U-Bet Vanilla Flavored Syrup, 20 oz
Open Product Description",$5.49,00070216241016,https://www.shoprite.com/sm/planning/rsid/218/product/foxs-ubet-vanilla-flavored-syrup-20-oz-id-00070216241016
"Zomick's Egg Challah Rolls, 6 count, 13 oz
Open Product Description",$5.49,00683715002011,https://www.shoprite.com/sm/planning/rsid/218/product/zomicks-egg-challah-rolls-6-count-13-oz-id-00683715002011
"Pure Bites Whole Wheat Multigrain Pop Cakes, 2.64 oz
Open Product Description",$5.59,00855654004054,https://www.shoprite.com/sm/planning/rsid/218/product/pure-bites-whole-wheat-multigrain-pop-cakes-264-oz-id-00855654004054
"Elite Coffee Elite Instant 100% Coffee, 7 oz
Open Product Description",$10.19,00077245102530,https://www.shoprite.com/sm/planning/rsid/218/product/elite-coffee-elite-instant-100-coffee-7-oz-id-00077245102530
"Kedem 100% Grape Juice, 25.4 fl oz
Open Product Description",$5.09,00073490132872,https://www.shoprite.com/sm/planning/rsid/218/product/kedem-100-grape-juice-254-fl-oz-id-00073490132872
"Osem Bissli BBQ Flavored Wheat Snacks, 2.5 oz
Open Product Description",$1.79,00077544826007,https://www.shoprite.com/sm/planning/rsid/218/product/osem-bissli-bbq-flavored-wheat-snacks-25-oz-id-00077544826007
"Tuscanini Red Kidney Beans, 13.4 oz
Open Product Description",$1.79,00710069304543,https://www.shoprite.com/sm/planning/rsid/218/product/tuscanini-red-kidney-beans-134-oz-id-00710069304543
"Joyce Chen Hoisin Sauce, 9.5 oz
Open Product Description",$4.99,00048002005753,https://www.shoprite.com/sm/planning/rsid/218/product/joyce-chen-hoisin-sauce-95-oz-id-00048002005753
"Lior Gourmet Spices Hawaij Soup Seasoning, 4.2 oz
Open Product Description",$4.69,00794711005552,https://www.shoprite.com/sm/planning/rsid/218/product/lior-gourmet-spices-hawaij-soup-seasoning-42-oz-id-00794711005552
"Manischewitz Candy - Mini Chocolate Coins, 1 each
Open Product Description",$9.59,00072700200356,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-candy-mini-chocolate-coins-1-each-id-00072700200356
"Snack Delite Marshmallow Crisp Rice Treats, 0.78 oz, 8 count
Open Product Description",$4.59,00077485000306,https://www.shoprite.com/sm/planning/rsid/218/product/snack-delite-marshmallow-crisp-rice-treats-078-oz-8-count-id-00077485000306
"Similac Advance Lamehadrin Milk-Based Powder Infant Formula with Iron, 0-12 Months, 24.7 oz
Open Product Description",$34.99,00070074673226,https://www.shoprite.com/sm/planning/rsid/218/product/similac-advance-lamehadrin-milkbased-powder-infant-formula-with-iron-012-months-247-oz-id-00070074673226
"Gefen Cultivated Hearts of Whole Palm, 14.1 oz
Open Product Description",$4.49,00710069013308,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-cultivated-hearts-of-whole-palm-141-oz-id-00710069013308
"Jeff Nathan Creations Gluten Free Plain Panko Flakes, 15 oz
Open Product Description",$9.29,00073490131981,https://www.shoprite.com/sm/planning/rsid/218/product/jeff-nathan-creations-gluten-free-plain-panko-flakes-15-oz-id-00073490131981
"Lieber's Milk Chocolate Coins, 0.5 oz
Open Product Description",$1.19,00043427421126,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-milk-chocolate-coins-05-oz-id-00043427421126
"Badatz Paskesz Oodles! Strawberry Tiny Tangy Fruity Chews, 0.56 oz
Open Product Description",$0.45,00025675302457,https://www.shoprite.com/sm/planning/rsid/218/product/badatz-paskesz-oodles-strawberry-tiny-tangy-fruity-chews-056-oz-id-00025675302457
"Glicks Tomato Sauce, 8 oz
Open Product Description",$1.09,00840762013166,https://www.shoprite.com/sm/planning/rsid/218/product/glicks-tomato-sauce-8-oz-id-00840762013166
"Golden Fluff Hot N' Spicy Popcorn, 3/4 oz
Open Product Description",$0.65,00030047300047,https://www.shoprite.com/sm/planning/rsid/218/product/golden-fluff-hot-n-spicy-popcorn-34-oz-id-00030047300047
"Golden Fluff Popcorn, 3/4 oz
Open Product Description",$0.65,00030047300016,https://www.shoprite.com/sm/planning/rsid/218/product/golden-fluff-popcorn-34-oz-id-00030047300016
"Joray Cherry Fruit Roll, 75 oz
Open Product Description",$0.89,00051063800045,https://www.shoprite.com/sm/planning/rsid/218/product/joray-cherry-fruit-roll-75-oz-id-00051063800045
"Joray Pineapple Fruit Roll, .75 oz
Open Product Description",$0.89,00051063800090,https://www.shoprite.com/sm/planning/rsid/218/product/joray-pineapple-fruit-roll-75-oz-id-00051063800090
"Kedem Vanilla Tea Biscuits, 4.2 oz
Open Product Description",$0.99,00073490123832,https://www.shoprite.com/sm/planning/rsid/218/product/kedem-vanilla-tea-biscuits-42-oz-id-00073490123832
"Lieber's Animal Crackers, 0.1 oz
Open Product Description",$0.49,00043427141024,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-animal-crackers-01-oz-id-00043427141024
"Lieber's Crispy Goodies - BBQ, 1 oz
Open Product Description",$0.59,00043427551137,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-crispy-goodies-bbq-1-oz-id-00043427551137
"Lieber's Potato Chips - Kettle Cooked Original, 1 oz
Open Product Description",$0.79,00043427181952,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-potato-chips-kettle-cooked-original-1-oz-id-00043427181952
"Manischewitz Dark Chocolate Coins, 0.53 oz
Open Product Description",$0.69,00072700200387,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-dark-chocolate-coins-053-oz-id-00072700200387
"Twiggs BBQ Corn Snacks - Kosher, 1 oz
Open Product Description",$0.79,00025675051621,https://www.shoprite.com/sm/planning/rsid/218/product/twiggs-bbq-corn-snacks-kosher-1-oz-id-00025675051621
"Tuscanini Classic Gnocchi, 16 oz
Open Product Description",$4.89,00710069303133,https://www.shoprite.com/sm/planning/rsid/218/product/tuscanini-classic-gnocchi-16-oz-id-00710069303133
"Lieber's Whole Hearts of Palm, 14 oz
Open Product Description",$4.09,00043427201353,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-whole-hearts-of-palm-14-oz-id-00043427201353
"Oxygen Sassy Strawberry Preserve, 8.8 oz
Open Product Description",$4.79,00811962010361,https://www.shoprite.com/sm/planning/rsid/218/product/oxygen-sassy-strawberry-preserve-88-oz-id-00811962010361
"Genève Grandeur Swiss Dark Chocolate with Praline Filling, 3.5 oz
Open Product Description",$3.79,00710069661059,https://www.shoprite.com/sm/planning/rsid/218/product/genve-grandeur-swiss-dark-chocolate-with-praline-filling-35-oz-id-00710069661059
"L'Hava Memorial Candle, 12.6 oz
Open Product Description",$3.79,00044164341142,https://www.shoprite.com/sm/planning/rsid/218/product/lhava-memorial-candle-126-oz-id-00044164341142
"Lieber's Fizzers, 11 oz
Open Product Description",$3.79,00043427400756,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-fizzers-11-oz-id-00043427400756
"Streit's Gourmet Stuffing Mix, 6.5 oz
Open Product Description",$3.99,00070227500584,https://www.shoprite.com/sm/planning/rsid/218/product/streits-gourmet-stuffing-mix-65-oz-id-00070227500584
"Kvuzat Yavne Large Pickled Cucumbers in Brine, 19 oz
Open Product Description",$3.49,00730127100009,https://www.shoprite.com/sm/planning/rsid/218/product/kvuzat-yavne-large-pickled-cucumbers-in-brine-19-oz-id-00730127100009
"Tuscanini Red Cooking Wine with Grapes of Piedmont, 16.9 fl oz
Open Product Description",$7.99,00710069312654,https://www.shoprite.com/sm/planning/rsid/218/product/tuscanini-red-cooking-wine-with-grapes-of-piedmont-169-fl-oz-id-00710069312654
"Aufschnitt Black Pepper Beef & Chicken Stick, 1 oz
Open Product Description",$3.29,00860713000168,https://www.shoprite.com/sm/planning/rsid/218/product/aufschnitt-black-pepper-beef-&-chicken-stick-1-oz-id-00860713000168
"Aufschnitt Garlic Beef & Chicken Stick, 1 oz
Open Product Description",$3.29,00860713000175,https://www.shoprite.com/sm/planning/rsid/218/product/aufschnitt-garlic-beef-&-chicken-stick-1-oz-id-00860713000175
"Gefen Large Cucumbers in Brine, 19 fl oz
Open Product Description",$3.29,00710069139107,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-large-cucumbers-in-brine-19-fl-oz-id-00710069139107
"Tabatchnick Classic Wholesome Chicken Broth, 32 fl oz
Open Product Description",$3.29,00071262041872,https://www.shoprite.com/sm/planning/rsid/218/product/tabatchnick-classic-wholesome-chicken-broth-32-fl-oz-id-00071262041872
"Goodman's Rice & Vermicelli with Seasoning Mix, 8 oz
Open Product Description",$2.99,00075131004517,https://www.shoprite.com/sm/planning/rsid/218/product/goodmans-rice-&-vermicelli-with-seasoning-mix-8-oz-id-00075131004517
"Lieber's Mint Leaves, .9 oz
Open Product Description",$2.69,00043427006859,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-mint-leaves-9-oz-id-00043427006859
"Lieber's Rice Cakes with Milk Chocolate, 6 count, 3.1 oz
Open Product Description",$2.79,00043427111195,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-rice-cakes-with-milk-chocolate-6-count-31-oz-id-00043427111195
"Manischewitz Lima Bean with Barley Soup Mix, 6 oz
Open Product Description",$2.79,00072700102032,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-lima-bean-with-barley-soup-mix-6-oz-id-00072700102032
"Ner Mitzvah Neironim Glass, 2 Count
Open Product Description",$2.69,00706132600025,https://www.shoprite.com/sm/planning/rsid/218/product/ner-mitzvah-neironim-glass-2-count-id-00706132600025
"Paskesz Nutty Chews, 3.5 oz
Open Product Description",$2.69,00025675122123,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-nutty-chews-35-oz-id-00025675122123
"Goldbaum's All Natural Original Pie Crust, 6 oz
Open Product Description",$6.99,00718122669394,https://www.shoprite.com/sm/planning/rsid/218/product/goldbaums-all-natural-original-pie-crust-6-oz-id-00718122669394
"Manischewitz Matzo Ball Soup, 24 oz
Open Product Description",$7.49,00072700101813,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-matzo-ball-soup-24-oz-id-00072700101813
"Gefen Fat Free Reduced Sodium Imitation Chicken Flavor Instant Noodle Soup, 1.92 oz
Open Product Description",$2.49,00710069601253,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-fat-free-reduced-sodium-imitation-chicken-flavor-instant-noodle-soup-192-oz-id-00710069601253
"Gefen Lentils, 16 oz
Open Product Description",$2.49,00710069052307,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-lentils-16-oz-id-00710069052307
"Manischewitz Reduced Sodium Matzo Ball & Soup Mix, 2 count, 4.5 oz
Open Product Description",$2.99,00072700101899,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-reduced-sodium-matzo-ball-&-soup-mix-2-count-45-oz-id-00072700101899
"Paskesz Raspberry Sour Candy Sticks, 3.5 oz
Open Product Description",$2.49,00025675120020,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-raspberry-sour-candy-sticks-35-oz-id-00025675120020
"Lieber's Thin Wheat Crackers, 9.1 oz
Open Product Description",$6.79,00043427130530,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-thin-wheat-crackers-91-oz-id-00043427130530
"Oikos Pro Strawberry Flavored Yogurt-Cultured Ultra-Filtered Milk, 5.3 oz
Open Product Description",$2.29,00036632042576,https://www.shoprite.com/sm/planning/rsid/218/product/oikos-pro-strawberry-flavored-yogurtcultured-ultrafiltered-milk-53-oz-id-00036632042576
"Schmerling's of Switzerland Rosemarie Milk Praline Filled Swiss Milk Chocolate, 3 1/2 oz
Open Product Description",$6.49,00097643082449,https://www.shoprite.com/sm/planning/rsid/218/product/schmerlings-of-switzerland-rosemarie-milk-praline-filled-swiss-milk-chocolate-3-12-oz-id-00097643082449
"Manischewitz Matzo Ball & Soup Mix, 2 count, 4.5 oz
Open Product Description",$2.99,00072700000116,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-matzo-ball-&-soup-mix-2-count-45-oz-id-00072700000116
"Gefen Soup, 2.3 oz
Open Product Description",$1.99,00710069061347,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-soup-23-oz-id-00710069061347
"Manischewitz Extra Wide Egg Noodles, 12 oz
Open Product Description",$2.79,00072700104067,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-extra-wide-egg-noodles-12-oz-id-00072700104067
"Paskesz Whole Grain Corn Checkers, 1.4 oz
Open Product Description",$1.99,00025675015470,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-whole-grain-corn-checkers-14-oz-id-00025675015470
"Tradition Cholesterol Free Imitation Chicken Flavor Instant Noodle Soup, 2.29 oz
Open Product Description",$1.99,00735375320018,https://www.shoprite.com/sm/planning/rsid/218/product/tradition-cholesterol-free-imitation-chicken-flavor-instant-noodle-soup-229-oz-id-00735375320018
"Kedem Peach Flavored Grape Juice, 64 fl oz
Open Product Description",$6.29,00073490131660,https://www.shoprite.com/sm/planning/rsid/218/product/kedem-peach-flavored-grape-juice-64-fl-oz-id-00073490131660
"Lieber's Rainbow Sprinkles, 10 oz
Open Product Description",$5.99,00043427161039,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-rainbow-sprinkles-10-oz-id-00043427161039
"Pereg Whole White Sesame Seeds, 5.30 oz
Open Product Description",$5.99,00813568001378,https://www.shoprite.com/sm/planning/rsid/218/product/pereg-whole-white-sesame-seeds-530-oz-id-00813568001378
"Galil Rice Cakes, 18 count, 3.5 oz
Open Product Description",$1.79,00794711003688,https://www.shoprite.com/sm/planning/rsid/218/product/galil-rice-cakes-18-count-35-oz-id-00794711003688
"Gefen California Tomato Paste, 6 oz
Open Product Description",$1.79,00710069303454,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-california-tomato-paste-6-oz-id-00710069303454
"Osem Bissli Onion Flavored Wheat Snacks, 2.5 oz
Open Product Description",$1.79,00077544827004,https://www.shoprite.com/sm/planning/rsid/218/product/osem-bissli-onion-flavored-wheat-snacks-25-oz-id-00077544827004
"Lieber's Chanukah Chocolate Coins, 0.5 oz
Open Product Description",$11.09,00043427421140,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-chanukah-chocolate-coins-05-oz-id-00043427421140
